Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
366.0,Emmanuel Yeboah,gh GHA,FW,Vejle BK,21.0,2003.0,9.0,3.0,410.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5.0,2.0,40.0,8.04,3.21,0.4,1.0,,11.0,1.9,,0,5,11.0,2,1.4,2.0,1.0,1.0,1.61,1.26,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,,0.0
194.0,Eric Kahl,se SWE,DF,AGF,22.0,2001.0,25.0,21.0,1862.0,20.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,10.0,2.0,20.0,0.48,0.1,0.0,0.0,,74.0,64.7,83.0,13,4,28.0,2,1.44,35.0,23.0,12.0,0.58,1.02,0.0,17.0,15.0,0.0,60.0,20.0,24.0,,,0.0
241.0,Erik Marxen,dk DEN,DF,Nordsjælland,33.0,1990.0,8.0,4.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,42.0,11.6,76.0,2,4,7.0,9,1.88,7.0,6.0,1.0,0.27,0.41,0.0,1.0,3.0,0.0,0.0,3.0,1.0,,,0.0
45.0,Felix Beijmo,se SWE,"MF,DF",AGF,26.0,1998.0,31.0,30.0,2525.0,28.1,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,0.07,0.11,0.18,0.07,0.18,Matches,25.0,12.0,48.0,0.89,0.43,0.08,0.17,,81.0,87.7,83.0,17,1,32.0,0,1.29,50.0,39.0,11.0,0.39,1.41,1.0,17.0,11.0,1.0,193.0,17.0,21.0,,,0.0
66.0,Filip Bundgaard,dk DEN,"MF,FW",Brøndby,20.0,2004.0,24.0,8.0,683.0,7.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.26,0.13,0.4,0.26,0.4,Matches,23.0,6.0,26.1,3.03,0.79,0.09,0.33,,28.0,23.7,61.0,0,16,12.0,7,1.29,14.0,6.0,8.0,1.05,0.89,0.0,10.0,5.0,1.0,13.0,5.0,10.0,,,0.0
95.0,Florian Danho Seke,fr FRA,FW,Randers,24.0,2000.0,19.0,15.0,1025.0,11.4,2.0,3.0,5.0,2.0,0.0,0.0,3.0,1.0,0.18,0.26,0.44,0.18,0.44,Matches,33.0,13.0,39.4,2.9,1.14,0.06,0.15,,54.0,35.6,63.0,0,4,22.0,3,1.63,22.0,17.0,5.0,0.44,0.34,0.0,19.0,24.0,11.0,3.0,1.0,4.0,,,0.0
104.0,Franculino Djú,gw GNB,FW,Midtjylland,20.0,2004.0,28.0,22.0,1683.0,18.7,11.0,3.0,14.0,10.0,1.0,1.0,3.0,0.0,0.59,0.16,0.75,0.53,0.7,Matches,62.0,28.0,45.2,3.32,1.5,0.16,0.36,,60.0,58.4,71.0,5,6,21.0,0,2.0,38.0,26.0,12.0,0.64,-0.11,0.0,10.0,12.0,7.0,13.0,5.0,11.0,,,0.0
58.0,Frederik Brandhof,dk DEN,MF,AGF,28.0,1996.0,22.0,5.0,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,1.0,33.3,0.44,0.15,0.0,0.0,,28.0,21.5,74.0,0,17,15.0,10,1.27,13.0,9.0,4.0,0.58,0.46,0.0,12.0,15.0,0.0,9.0,7.0,11.0,,,0.0
138.0,Frederik Gytkjær,dk DEN,FW,Lyngby,31.0,1993.0,27.0,14.0,1443.0,16.0,8.0,2.0,10.0,7.0,1.0,1.0,5.0,0.0,0.5,0.12,0.62,0.44,0.56,Matches,31.0,12.0,38.7,1.93,0.75,0.23,0.58,,53.0,50.1,78.0,3,13,28.0,1,0.85,17.0,24.0,-7.0,-0.44,0.19,0.0,49.0,30.0,18.0,12.0,4.0,6.0,,,0.0
167.0,Frederik Ibsen,dk DEN,DF,Brøndby,24.0,1999.0,22.0,18.0,1640.0,18.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,7.0,4.0,57.1,0.38,0.22,0.29,0.5,,75.0,56.9,87.0,16,4,17.0,4,1.5,34.0,27.0,7.0,0.38,0.02,0.0,10.0,5.0,0.0,0.0,21.0,19.0,,,0.0
218.0,Frederik Lauenborg,dk DEN,"MF,DF",Randers,27.0,1997.0,14.0,4.0,348.0,3.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.52,0.0,0.52,0.52,0.52,Matches,4.0,2.0,50.0,1.03,0.52,0.5,1.0,,25.0,12.1,41.0,0,10,19.0,6,1.47,7.0,9.0,-2.0,-0.52,-0.84,0.0,3.0,2.0,0.0,1.0,4.0,6.0,,,0.0
341.0,Frederik Tingager,dk DEN,DF,AGF,31.0,1993.0,30.0,30.0,2582.0,28.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,20.0,8.0,40.0,0.7,0.28,0.1,0.25,,86.0,89.7,86.0,27,0,,0,1.33,49.0,35.0,14.0,0.49,2.6,0.0,18.0,21.0,0.0,1.0,21.0,25.0,,,1.0
285.0,Gabriel Pereira,br BRA,DF,FC Copenhagen,24.0,2000.0,26.0,25.0,2146.0,23.8,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches,15.0,5.0,33.3,0.63,0.21,0.2,0.6,,83.0,74.5,85.0,20,1,25.0,2,1.81,44.0,28.0,16.0,0.67,-0.68,0.0,12.0,11.0,1.0,6.0,31.0,15.0,,,0.0
274.0,German Onugkha,ru RUS,FW,Vejle BK,28.0,1996.0,21.0,21.0,1827.0,20.3,13.0,1.0,14.0,12.0,1.0,1.0,1.0,0.0,0.64,0.05,0.69,0.59,0.64,Matches,11.0,3.0,27.3,4.67,1.27,0.0,0.0,,53.0,7.4,68.0,1,1,7.0,4,1.75,2.0,3.0,-1.0,-0.42,-1.37,0.0,3.0,1.0,1.0,1.0,0.0,2.0,,,0.0
225.0,Gift Links,za RSA,"MF,DF",AGF,25.0,1998.0,25.0,24.0,1925.0,21.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.09,0.14,0.23,0.09,0.23,Matches,44.0,13.0,29.5,2.06,0.61,0.05,0.15,,77.0,66.8,78.0,5,1,45.0,0,1.48,40.0,26.0,14.0,0.65,1.31,0.0,27.0,31.0,7.0,210.0,22.0,24.0,,,0.0
130.0,Giorgi Gocholeishvili,ge GEO,DF,FC Copenhagen,23.0,2001.0,21.0,15.0,1397.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.13,0.06,0.13,Matches,19.0,4.0,21.1,1.22,0.26,0.05,0.25,,67.0,48.5,78.0,7,6,38.0,7,1.81,28.0,20.0,8.0,0.52,-0.64,0.0,8.0,31.0,2.0,71.0,15.0,35.0,,,0.0
122.0,Gustav Fraulo,dk DEN,"MF,DF",Lyngby,19.0,2005.0,10.0,3.0,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,1.0,25.0,1.19,0.3,0.0,0.0,,30.0,10.5,87.0,2,7,6.0,10,1.1,5.0,9.0,-4.0,-1.19,-0.73,0.0,3.0,9.0,0.0,8.0,3.0,4.0,,,0.0
362.0,Gustav Wikheim,no NOR,FW,Nordsjælland,31.0,1993.0,12.0,5.0,457.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,5.0,3.0,60.0,0.98,0.59,0.2,0.33,,38.0,15.9,58.0,0,7,24.0,1,1.67,9.0,12.0,-3.0,-0.59,-0.59,0.0,4.0,7.0,1.0,7.0,1.0,5.0,,,0.0
40.0,Hamza Barry,gm GAM,MF,Vejle BK,29.0,1994.0,22.0,16.0,1423.0,15.8,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,0.06,0.32,0.38,0.06,0.38,Matches,10.0,2.0,20.0,0.63,0.13,0.1,0.5,,65.0,49.4,78.0,7,6,30.0,3,0.73,16.0,37.0,-21.0,-1.33,-0.96,0.0,26.0,21.0,1.0,46.0,14.0,10.0,,,0.0
91.0,Henrik Dalsgaard,dk DEN,DF,AGF,35.0,1989.0,26.0,21.0,1812.0,20.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,9.0,4.0,44.4,0.45,0.2,0.11,0.25,,70.0,62.9,82.0,15,5,17.0,1,1.27,34.0,28.0,6.0,0.3,0.21,0.0,22.0,19.0,1.0,19.0,21.0,16.0,,,0.0
309.0,Ibrahim Said,ng NGA,FW,Viborg,22.0,2002.0,14.0,3.0,410.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,11.0,2.0,18.2,2.41,0.44,0.0,0.0,,29.0,14.2,70.0,0,11,18.0,6,1.14,4.0,9.0,-5.0,-1.1,-1.53,0.0,4.0,4.0,2.0,16.0,3.0,5.0,,,0.0
350.0,Igor Vekič,si SVN,GK,Vejle BK,26.0,1998.0,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,96.9,90.0,31,0,,1,0.9,35.0,61.0,-26.0,-0.84,0.16,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0
147.0,Isak Hansen-Aarøen,no NOR,"MF,FW",Aalborg,19.0,2004.0,14.0,9.0,767.0,8.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9.0,1.0,11.1,1.06,0.12,0.0,0.0,,55.0,26.6,77.0,1,5,14.0,1,0.5,10.0,20.0,-10.0,-1.17,-0.19,0.0,10.0,5.0,0.0,24.0,7.0,4.0,,,0.0
177.0,Isak Jensen,dk DEN,FW,Viborg,20.0,2003.0,27.0,23.0,1953.0,21.7,9.0,2.0,11.0,7.0,2.0,2.0,1.0,0.0,0.41,0.09,0.51,0.32,0.41,Matches,54.0,20.0,37.0,2.49,0.92,0.13,0.35,,72.0,67.8,79.0,8,4,32.0,1,1.26,36.0,36.0,0.0,0.0,-0.68,0.0,13.0,32.0,5.0,112.0,5.0,8.0,,,0.0
103.0,Ivan Djantou,cm CMR,FW,SønderjyskE,22.0,2002.0,30.0,6.0,851.0,9.5,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,17.0,8.0,47.1,1.8,0.85,0.24,0.5,,28.0,29.5,67.0,1,24,19.0,2,1.1,14.0,19.0,-5.0,-0.53,0.0,0.0,27.0,16.0,5.0,1.0,2.0,5.0,,,0.0
264.0,Ivan Nikolov,mk MKD,"MF,FW",SønderjyskE,22.0,2002.0,10.0,3.0,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0,0.0,0.0,0.54,0.0,0.0,,,33.0,11.5,59.0,0,7,22.0,7,0.9,2.0,5.0,-3.0,-0.82,-0.32,0.0,5.0,2.0,1.0,1.0,1.0,6.0,,,0.0
258.0,Ivan Näsberg,no NOR,DF,Viborg,28.0,1996.0,14.0,13.0,1128.0,12.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,14.0,3.0,21.4,1.12,0.24,0.21,1.0,,81.0,39.2,86.0,10,1,4.0,6,1.43,15.0,19.0,-4.0,-0.32,-0.88,0.0,6.0,5.0,0.0,1.0,7.0,2.0,,,1.0
13.0,Jacob Andersen,dk DEN,MF,AGF,20.0,2004.0,16.0,3.0,418.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,2.0,1.0,50.0,0.43,0.22,0.0,0.0,,26.0,14.5,61.0,0,13,18.0,1,1.69,6.0,6.0,0.0,0.0,-0.26,0.0,12.0,12.0,2.0,14.0,3.0,3.0,,,0.0
298.0,Jacob Rasmussen,dk DEN,DF,Brøndby,27.0,1997.0,28.0,28.0,2520.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,16.0,3.0,18.8,0.57,0.11,0.0,0.0,,90.0,87.5,90.0,28,0,,0,1.54,52.0,42.0,10.0,0.36,-0.14,0.0,18.0,15.0,1.0,10.0,24.0,29.0,,,0.0
71.0,Jakob Busk,dk DEN,GK,SønderjyskE,30.0,1993.0,14.0,13.0,1222.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,87.0,42.4,90.0,13,1,52.0,3,1.07,20.0,30.0,-10.0,-0.74,-0.36,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0
353.0,Jakob Vester,dk DEN,"MF,FW",Viborg,19.0,2004.0,26.0,11.0,1095.0,12.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,20.0,8.0,40.0,1.64,0.66,0.2,0.5,,42.0,38.0,68.0,2,15,23.0,2,1.46,24.0,20.0,4.0,0.33,0.18,0.0,10.0,16.0,1.0,5.0,4.0,15.0,,,0.0
208.0,Jan Kuchta,cz CZE,FW,Midtjylland,27.0,1997.0,9.0,7.0,538.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches,8.0,4.0,50.0,1.34,0.67,0.13,0.25,,60.0,18.7,67.0,1,2,33.0,2,1.44,7.0,12.0,-5.0,-0.84,-1.87,0.0,1.0,1.0,6.0,3.0,1.0,2.0,,,0.0
328.0,Jannich Storch,dk DEN,GK,Lyngby,31.0,1993.0,24.0,23.0,2013.0,22.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,0.0,0.0,,0.0,0.0,,,,84.0,69.9,87.0,22,1,5.0,8,0.79,17.0,31.0,-14.0,-0.63,-0.31,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0
245.0,Jean-Manuel Mbom,de GER,DF,Viborg,24.0,2000.0,29.0,25.0,2283.0,25.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,14.0,2.0,14.3,0.55,0.08,0.07,0.5,,79.0,79.3,87.0,20,4,26.0,1,1.41,44.0,39.0,5.0,0.2,-0.1,0.0,14.0,17.0,0.0,39.0,23.0,26.0,,,0.0
239.0,Jens Martin Gammelby,dk DEN,DF,Silkeborg,29.0,1995.0,18.0,12.0,1042.0,11.6,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.17,0.17,0.35,0.17,0.35,Matches,16.0,7.0,43.8,1.38,0.6,0.13,0.29,,58.0,36.2,83.0,9,6,7.0,12,1.47,24.0,15.0,9.0,0.78,0.48,0.0,11.0,2.0,2.0,21.0,5.0,6.0,,,0.0
14.0,Jeppe Andersen,dk DEN,"MF,FW",Silkeborg,31.0,1992.0,31.0,17.0,1736.0,19.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.16,0.05,0.21,0.16,0.21,Matches,25.0,8.0,32.0,1.3,0.41,0.12,0.38,,56.0,60.3,79.0,4,14,28.0,1,1.53,32.0,26.0,6.0,0.31,-0.4,0.0,20.0,20.0,3.0,11.0,8.0,9.0,,,0.0
135.0,Jeppe Grønning,dk DEN,MF,Viborg,33.0,1991.0,26.0,26.0,2058.0,22.9,3.0,0.0,3.0,1.0,2.0,3.0,10.0,0.0,0.13,0.0,0.13,0.04,0.04,Matches,18.0,4.0,22.2,0.79,0.17,0.06,0.25,,79.0,71.5,79.0,16,0,,2,1.42,37.0,37.0,0.0,0.0,-0.77,0.0,49.0,28.0,1.0,8.0,39.0,32.0,,,1.0
320.0,Jeppe Simonsen,ht HAI,"DF,MF",SønderjyskE,28.0,1995.0,4.0,4.0,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,0.31,0.0,0.0,,,74.0,10.2,74.0,1,0,,2,1.0,3.0,6.0,-3.0,-0.92,-0.43,0.0,2.0,1.0,0.0,3.0,5.0,5.0,,,0.0
346.0,Jeppe Tverskov,dk DEN,"MF,DF",Nordsjælland,31.0,1993.0,15.0,15.0,1336.0,14.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.07,0.27,0.34,0.07,0.34,Matches,7.0,2.0,28.6,0.47,0.13,0.14,0.5,,89.0,46.4,89.0,14,0,,0,1.53,26.0,22.0,4.0,0.27,0.68,0.0,9.0,18.0,0.0,6.0,24.0,18.0,,,0.0
88.0,Jesper Cornelius,dk DEN,"FW,MF",Lyngby,23.0,2001.0,14.0,11.0,917.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,22.0,6.0,27.3,2.16,0.59,0.05,0.17,,66.0,31.8,73.0,1,3,37.0,0,1.21,12.0,11.0,1.0,0.1,0.92,0.0,11.0,12.0,3.0,5.0,5.0,5.0,,,0.0
143.0,Jesper Hansen,dk DEN,GK,AGF,39.0,1985.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,87.5,90.0,28,0,,4,1.43,48.0,34.0,14.0,0.5,2.25,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,,0.0
20.0,Joel Andersson,se SWE,"DF,MF",Midtjylland,27.0,1996.0,25.0,15.0,1512.0,16.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.06,0.18,0.24,0.06,0.24,Matches,4.0,2.0,50.0,0.24,0.12,0.25,0.5,,60.0,52.5,85.0,12,10,23.0,4,1.92,34.0,21.0,13.0,0.77,0.18,0.0,8.0,8.0,1.0,81.0,13.0,18.0,,,0.0
51.0,John Björkengren,se SWE,MF,Randers,25.0,1998.0,31.0,31.0,2786.0,31.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.03,0.06,0.1,0.03,0.1,Matches,6.0,1.0,16.7,0.19,0.03,0.17,1.0,,90.0,96.7,90.0,30,0,,0,1.5,55.0,45.0,10.0,0.32,3.2,0.0,30.0,39.0,0.0,12.0,36.0,51.0,,,0.0
170.0,John Iredale,au AUS,FW,Aalborg,24.0,1999.0,14.0,10.0,723.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,Matches,21.0,8.0,38.1,2.61,1.0,0.14,0.38,,52.0,25.1,64.0,1,4,21.0,2,0.79,12.0,16.0,-4.0,-0.5,0.71,0.0,5.0,2.0,7.0,1.0,1.0,2.0,,,0.0
1.0,Jonas Abbew,dk DEN,DF,AGF,22.0,2002.0,17.0,10.0,865.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,0.1,0.0,0.0,,,51.0,30.0,73.0,1,7,19.0,11,1.41,12.0,17.0,-5.0,-0.52,-1.06,0.0,8.0,1.0,1.0,2.0,9.0,5.0,,,0.0
207.0,Jonas Krumrey,de GER,GK,Lyngby,20.0,2003.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,9.4,90.0,3,0,,2,1.0,2.0,3.0,-1.0,-0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
229.0,Jonas Lössl,dk DEN,GK,Midtjylland,35.0,1989.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,90.0,31.3,90.0,10,0,,22,2.0,24.0,12.0,12.0,1.2,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
12.0,Jonathan Amon,us USA,"FW,MF",Lyngby,25.0,1999.0,23.0,16.0,1426.0,15.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,20.0,7.0,35.0,1.26,0.44,0.15,0.43,,62.0,49.5,76.0,4,7,31.0,4,0.65,8.0,21.0,-13.0,-0.82,-0.57,0.0,16.0,23.0,4.0,36.0,5.0,7.0,,,0.0
370.0,Jonathan Ægidius,dk DEN,GK,Lyngby,22.0,2002.0,6.0,6.0,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,89.0,18.6,89.0,5,0,,9,1.33,7.0,9.0,-2.0,-0.34,0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
217.0,Jordan Larsson,se SWE,"MF,FW",FC Copenhagen,27.0,1997.0,19.0,18.0,1290.0,14.3,8.0,2.0,10.0,8.0,0.0,0.0,4.0,0.0,0.56,0.14,0.7,0.56,0.7,Matches,31.0,14.0,45.2,2.16,0.98,0.26,0.57,,68.0,44.8,71.0,1,1,6.0,5,2.21,25.0,14.0,11.0,0.77,-0.14,0.0,12.0,16.0,1.0,20.0,9.0,8.0,,,0.0
348.0,Jordi Vanlerberghe,be BEL,DF,Brøndby,28.0,1996.0,22.0,16.0,1430.0,15.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,16.0,3.0,18.8,1.01,0.19,0.13,0.67,,65.0,49.7,83.0,12,6,18.0,3,1.73,28.0,17.0,11.0,0.69,0.63,0.0,10.0,14.0,2.0,23.0,25.0,34.0,,,0.0
126.0,Jose Gallegos,us USA,"MF,FW",SønderjyskE,22.0,2001.0,15.0,4.0,452.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,5.0,1.0,20.0,1.0,0.2,0.2,1.0,,30.0,15.7,60.0,0,11,19.0,13,0.8,6.0,13.0,-7.0,-1.39,-1.02,0.0,4.0,6.0,0.0,8.0,3.0,10.0,,,0.0
294.0,Josip Radošević,hr CRO,MF,Brøndby,30.0,1994.0,15.0,11.0,862.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,0.0,0.0,0.31,0.0,0.0,,,57.0,29.9,74.0,4,4,13.0,2,1.73,18.0,12.0,6.0,0.63,0.36,0.0,10.0,5.0,0.0,9.0,8.0,13.0,,,0.0
6.0,Jubril Adedeji,ng NGA,"FW,MF",Aalborg,24.0,2000.0,8.0,3.0,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9.0,0.0,0.0,2.75,0.0,0.0,,,37.0,10.2,60.0,0,5,23.0,4,0.75,5.0,5.0,0.0,0.0,1.15,0.0,6.0,12.0,1.0,2.0,2.0,1.0,,,0.0
213.0,Juho Lähteenmäki,fi FIN,DF,Nordsjælland,18.0,2006.0,15.0,13.0,1068.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,0.0,0.0,0.25,0.0,0.0,,,71.0,37.1,79.0,5,2,20.0,0,1.33,19.0,19.0,0.0,0.0,0.15,0.0,7.0,10.0,0.0,12.0,7.0,18.0,,,0.0
261.0,Julius Nielsen,dk DEN,"DF,MF",Silkeborg,18.0,2006.0,20.0,5.0,639.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,2.0,50.0,0.56,0.28,0.0,0.0,,32.0,22.2,69.0,2,15,19.0,12,1.6,9.0,10.0,-1.0,-0.14,-0.78,0.0,10.0,0.0,3.0,15.0,5.0,14.0,,,0.0
